brand,generation,tier,type,sentiment
amd,6000,low,post,-0.4767
amd,6000,low,comment,0.8374
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.6841
amd,6000,low,comment,0.7156
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.624
amd,6000,low,comment,0.3818
amd,6000,low,comment,0.4215
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.128
amd,6000,low,comment,-0.9565
amd,6000,low,comment,-0.0749
amd,6000,low,comment,0.6249
amd,6000,low,comment,0.3506
amd,6000,low,comment,-0.4516
amd,6000,low,comment,-0.6428
amd,6000,low,post,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.3257
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.802
amd,6000,low,comment,0.3612
amd,6000,low,comment,-0.2621
amd,6000,low,comment,0.9069
amd,6000,low,comment,0.4939
amd,6000,low,comment,-0.9306
amd,6000,low,comment,-0.1306
amd,6000,low,comment,0.4588
amd,6000,low,comment,0.6486
amd,6000,low,comment,-0.4019
amd,6000,low,comment,0.9153
amd,6000,low,comment,-0.802
amd,6000,low,comment,-0.3134
amd,6000,low,comment,0.5233
amd,6000,low,comment,0.4019
amd,6000,low,comment,-0.1759
amd,6000,low,comment,0.6322
amd,6000,low,post,0.6369
amd,6000,low,comment,0.9287
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.2732
amd,6000,low,comment,0.0
amd,6000,low,comment,0.9637
amd,6000,low,comment,0.9328
amd,6000,low,comment,0.4404
amd,6000,low,comment,-0.1027
amd,6000,low,comment,0.717
amd,6000,low,comment,0.0989
amd,6000,low,comment,-0.6083
amd,6000,low,comment,0.1027
amd,6000,low,comment,0.6327
amd,6000,low,comment,0.6124
amd,6000,low,comment,-0.541
amd,6000,low,comment,0.0
amd,6000,low,comment,0.6588
amd,6000,low,comment,0.2263
amd,6000,low,comment,-0.4019
amd,6000,low,post,-0.9185
amd,6000,low,comment,0.0
amd,6000,low,comment,0.128
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.0772
amd,6000,low,comment,-0.25
amd,6000,low,comment,-0.8151
amd,6000,low,comment,-0.5247
amd,6000,low,comment,0.2023
amd,6000,low,comment,-0.7399
amd,6000,low,comment,0.296
amd,6000,low,comment,-0.1081
amd,6000,low,comment,-0.5106
amd,6000,low,comment,0.5256
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.5018
amd,6000,low,comment,0.6882
amd,6000,low,comment,-0.2997
amd,6000,low,comment,-0.935
amd,6000,low,comment,-0.2263
amd,6000,low,comment,-0.6195
amd,6000,low,post,0.6956
amd,6000,low,comment,-0.5432
amd,6000,low,comment,0.2942
amd,6000,low,comment,-0.3818
amd,6000,low,comment,0.2944
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.5106
amd,6000,low,comment,0.0
amd,6000,low,comment,0.1531
amd,6000,low,comment,0.784
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.296
amd,6000,low,comment,0.1779
amd,6000,low,comment,0.7088
amd,6000,low,comment,0.7603
amd,6000,low,comment,0.0
amd,6000,low,comment,0.128
amd,6000,low,comment,0.0
amd,6000,low,comment,0.8126
amd,6000,low,comment,0.0
amd,6000,low,post,0.5106
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.3818
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.836
amd,6000,low,comment,-0.2382
amd,6000,low,comment,0.4019
amd,6000,low,comment,0.0
amd,6000,low,comment,0.8462
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.0772
amd,6000,low,comment,-0.1027
amd,6000,low,comment,0.1695
amd,6000,low,comment,0.6858
amd,6000,low,comment,0.4404
amd,6000,low,comment,0.3612
amd,6000,low,comment,0.4019
amd,6000,low,comment,0.0
amd,6000,low,comment,0.7269
amd,6000,low,post,0.8021
amd,6000,low,comment,0.1882
amd,6000,low,comment,-0.128
amd,6000,low,comment,0.4215
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.1695
amd,6000,low,comment,0.5595
amd,6000,low,comment,-0.4215
amd,6000,low,comment,-0.4047
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.1695
amd,6000,low,comment,-0.5423
amd,6000,low,comment,-0.4854
amd,6000,low,comment,-0.4215
amd,6000,low,comment,0.4404
amd,6000,low,comment,-0.3182
amd,6000,low,comment,0.3818
amd,6000,low,comment,0.5642
amd,6000,low,comment,0.8612
amd,6000,low,comment,0.0
amd,6000,low,comment,0.1406
amd,6000,low,post,0.5994
amd,6000,low,comment,0.4019
amd,6000,low,comment,-0.25
amd,6000,low,comment,0.296
amd,6000,low,comment,0.0
amd,6000,low,comment,0.2801
amd,6000,low,comment,0.0
amd,6000,low,comment,0.25
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.1761
amd,6000,low,comment,-0.4678
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.3089
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,post,0.0
amd,6000,low,comment,0.5093
amd,6000,low,comment,-0.1154
amd,6000,low,comment,0.4033
amd,6000,low,comment,0.0
amd,6000,low,comment,0.4541
amd,6000,low,comment,0.2937
amd,6000,low,comment,-0.4215
amd,6000,low,comment,0.1779
amd,6000,low,comment,-0.8225
amd,6000,low,comment,-0.0047
amd,6000,low,comment,0.0
amd,6000,low,comment,0.6369
amd,6000,low,comment,0.4135
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0516
amd,6000,low,comment,0.7783
amd,6000,low,comment,0.3182
amd,6000,low,comment,-0.8481
amd,6000,low,comment,-0.9745
amd,6000,low,comment,0.1817
amd,6000,low,post,0.0
amd,6000,low,comment,0.0572
amd,6000,low,comment,0.0
amd,6000,low,comment,0.4404
amd,6000,low,comment,0.6115
amd,6000,low,comment,0.8613
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.4404
amd,6000,low,comment,-0.1779
amd,6000,low,comment,0.8126
amd,6000,low,comment,0.3612
amd,6000,low,comment,-0.0918
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.676
amd,6000,low,comment,-0.1965
amd,6000,low,comment,-0.6836
amd,6000,low,comment,0.5267
amd,6000,low,comment,0.0
amd,6000,low,comment,0.4588
amd,6000,low,comment,-0.4215
amd,6000,low,comment,0.3612
amd,6000,low,post,-0.6597
amd,6000,low,comment,0.4404
amd,6000,low,comment,0.802
amd,6000,low,comment,0.8016
amd,6000,low,comment,-0.5574
amd,6000,low,comment,0.9062
amd,6000,low,comment,0.4404
amd,6000,low,comment,0.2023
amd,6000,low,comment,0.6588
amd,6000,low,comment,-0.3875
amd,6000,low,comment,0.4199
amd,6000,low,comment,0.8735
amd,6000,low,comment,0.6588
amd,6000,low,comment,0.0
amd,6000,low,comment,0.8016
amd,6000,low,comment,0.7424
amd,6000,low,comment,0.0
amd,6000,low,comment,0.4753
amd,6000,low,comment,0.7543
amd,6000,low,comment,-0.4519
amd,6000,low,comment,-0.9068
amd,6000,low,post,0.3612
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.1027
amd,6000,low,comment,0.0
amd,6000,low,comment,0.8191
amd,6000,low,comment,0.8843
amd,6000,low,comment,0.128
amd,6000,low,comment,-0.7964
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.4404
amd,6000,low,comment,-0.2244
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.4329
amd,6000,low,comment,-0.6369
amd,6000,low,comment,0.4939
amd,6000,low,comment,0.3182
amd,6000,low,comment,0.3818
amd,6000,low,comment,-0.3182
amd,6000,low,comment,-0.7133
amd,6000,low,comment,0.6055
amd,6000,low,post,0.0
amd,6000,low,comment,0.1655
amd,6000,low,comment,0.5563
amd,6000,low,comment,0.4939
amd,6000,low,comment,0.6997
amd,6000,low,comment,0.0
amd,6000,low,comment,0.7625
amd,6000,low,comment,0.296
amd,6000,low,comment,0.4756
amd,6000,low,comment,0.2732
amd,6000,low,comment,0.8102
amd,6000,low,comment,-0.8718
amd,6000,low,comment,0.6842
amd,6000,low,comment,0.25
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0018
amd,6000,low,comment,-0.3612
amd,6000,low,comment,0.0
amd,6000,low,comment,0.3182
amd,6000,low,comment,0.9373
amd,6000,low,comment,0.5023
amd,6000,low,post,0.0
amd,6000,low,comment,0.5859
amd,6000,low,comment,-0.4501
amd,6000,low,comment,-0.2755
amd,6000,low,comment,0.6476
amd,6000,low,comment,-0.3182
amd,6000,low,comment,0.1049
amd,6000,low,comment,0.0
amd,6000,low,comment,0.6326
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.1548
amd,6000,low,comment,-0.3944
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.3182
amd,6000,low,comment,-0.4449
amd,6000,low,comment,0.6576
amd,6000,low,comment,0.6338
amd,6000,low,comment,0.8059
amd,6000,low,comment,-0.3549
amd,6000,low,comment,0.6187
amd,6000,low,comment,0.0
amd,6000,low,post,0.0
amd,6000,low,comment,0.6633
amd,6000,low,comment,0.8999
amd,6000,low,comment,0.5707
amd,6000,low,comment,0.8804
amd,6000,low,comment,0.7419
amd,6000,low,comment,-0.3818
amd,6000,low,comment,0.0
amd,6000,low,comment,0.4019
amd,6000,low,comment,0.765
amd,6000,low,comment,0.9069
amd,6000,low,comment,0.0
amd,6000,low,comment,0.5106
amd,6000,low,comment,0.4019
amd,6000,low,comment,-0.7474
amd,6000,low,comment,0.7003
amd,6000,low,comment,0.296
amd,6000,low,comment,-0.3612
amd,6000,low,comment,0.4927
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.5848
amd,6000,low,post,0.9622
amd,6000,low,comment,0.9442
amd,6000,low,comment,0.4019
amd,6000,low,comment,-0.936
amd,6000,low,comment,0.4085
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.7184
amd,6000,low,comment,-0.3127
amd,6000,low,comment,-0.5995
amd,6000,low,comment,0.0
amd,6000,low,comment,0.509
amd,6000,low,comment,0.9437
amd,6000,low,comment,0.1603
amd,6000,low,comment,0.3071
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.6178
amd,6000,low,comment,0.5267
amd,6000,low,comment,0.6914
amd,6000,low,comment,0.7501
amd,6000,low,post,0.0
amd,6000,low,comment,0.5994
amd,6000,low,comment,-0.017
amd,6000,low,comment,-0.34
amd,6000,low,comment,0.4215
amd,6000,low,comment,0.4404
amd,6000,low,comment,0.5859
amd,6000,low,comment,0.296
amd,6000,low,comment,0.0
amd,6000,low,comment,0.5994
amd,6000,low,comment,0.4019
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.6669
amd,6000,low,comment,0.0
amd,6000,low,comment,0.0258
amd,6000,low,comment,0.0
amd,6000,low,comment,-0.5771
amd,6000,low,comment,0.5574
amd,6000,low,comment,0.5215
amd,6000,low,post,0.6948
amd,6000,low,comment,0.7137
amd,6000,low,comment,0.9349
amd,6000,low,comment,-0.0
amd,6000,low,comment,-0.8442
amd,6000,low,comment,-0.281
amd,6000,low,comment,0.9442
amd,6000,low,comment,-0.3887
amd,6000,low,comment,0.2244
amd,6000,low,comment,0.714
amd,6000,low,comment,0.4215
amd,6000,low,comment,0.6471
amd,6000,low,comment,0.705
amd,6000,low,comment,0.1531
amd,6000,low,comment,0.8542
amd,6000,low,comment,0.8724
amd,6000,low,comment,0.6801
