brand,generation,tier,type,sentiment
nvidia,30,low,post,0.0
nvidia,30,low,comment,-0.5893
nvidia,30,low,comment,0.765
nvidia,30,low,comment,0.1779
nvidia,30,low,comment,0.4019
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,-0.1174
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.3612
nvidia,30,low,comment,0.8074
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,0.7717
nvidia,30,low,comment,0.0772
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.6696
nvidia,30,low,comment,0.4019
nvidia,30,low,comment,0.8933
nvidia,30,low,comment,0.7717
nvidia,30,low,comment,0.6419
nvidia,30,low,comment,-0.3757
nvidia,30,low,comment,0.5994
nvidia,30,low,post,0.853
nvidia,30,low,comment,-0.7584
nvidia,30,low,comment,0.6369
nvidia,30,low,comment,-0.2732
nvidia,30,low,comment,0.1397
nvidia,30,low,comment,0.8038
nvidia,30,low,comment,-0.5719
nvidia,30,low,comment,0.4588
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.7964
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.5719
nvidia,30,low,comment,0.6901
nvidia,30,low,comment,0.9736
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.1779
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,0.669
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.885
nvidia,30,low,post,0.7269
nvidia,30,low,comment,0.902
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.0516
nvidia,30,low,comment,0.6808
nvidia,30,low,comment,-0.3197
nvidia,30,low,comment,0.8948
nvidia,30,low,comment,0.8632
nvidia,30,low,comment,0.1093
nvidia,30,low,comment,0.7436
nvidia,30,low,comment,0.7777
nvidia,30,low,comment,0.4497
nvidia,30,low,comment,0.4627
nvidia,30,low,comment,0.7574
nvidia,30,low,comment,0.7755
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.6114
nvidia,30,low,comment,-0.5423
nvidia,30,low,comment,-0.1531
nvidia,30,low,post,0.2731
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.4353
nvidia,30,low,comment,0.7075
nvidia,30,low,comment,-0.0772
nvidia,30,low,comment,-0.4215
nvidia,30,low,comment,0.0258
nvidia,30,low,comment,0.4848
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.7034
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.4019
nvidia,30,low,comment,0.4019
nvidia,30,low,comment,0.6808
nvidia,30,low,comment,0.3919
nvidia,30,low,comment,-0.6251
nvidia,30,low,comment,0.1901
nvidia,30,low,post,0.7195
nvidia,30,low,comment,0.3612
nvidia,30,low,comment,0.5504
nvidia,30,low,comment,0.7003
nvidia,30,low,comment,0.2263
nvidia,30,low,comment,-0.1695
nvidia,30,low,post,-0.8832
nvidia,30,low,comment,-0.5519
nvidia,30,low,comment,0.3506
nvidia,30,low,comment,0.8779
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,0.1613
nvidia,30,low,comment,0.85
nvidia,30,low,post,0.9702
nvidia,30,low,comment,0.6249
nvidia,30,low,comment,-0.5106
nvidia,30,low,comment,0.3818
nvidia,30,low,comment,-0.296
nvidia,30,low,comment,0.0
nvidia,30,low,post,-0.6934
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.1027
nvidia,30,low,post,0.3661
nvidia,30,low,comment,0.5023
nvidia,30,low,comment,0.6369
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.057
nvidia,30,low,post,0.7184
nvidia,30,low,comment,0.3626
nvidia,30,low,comment,0.7351
nvidia,30,low,comment,0.7227
nvidia,30,low,comment,0.3182
nvidia,30,low,comment,0.6369
nvidia,30,low,comment,-0.0258
nvidia,30,low,comment,0.5859
nvidia,30,low,comment,0.986
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.4497
nvidia,30,low,comment,0.6808
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,0.6597
nvidia,30,low,post,0.2304
nvidia,30,low,comment,0.5023
nvidia,30,low,comment,0.4939
nvidia,30,low,comment,-0.1513
nvidia,30,low,comment,0.6591
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.3542
nvidia,30,low,comment,-0.3595
nvidia,30,low,comment,0.2023
nvidia,30,low,comment,0.5719
nvidia,30,low,comment,0.7901
nvidia,30,low,comment,0.0
nvidia,30,low,post,0.8076
nvidia,30,low,comment,0.4939
nvidia,30,low,comment,0.9216
nvidia,30,low,comment,-0.598
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.25
nvidia,30,low,comment,0.2023
nvidia,30,low,comment,0.4215
nvidia,30,low,comment,0.4588
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.6808
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.495
nvidia,30,low,comment,-0.34
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.5775
nvidia,30,low,comment,0.4558
nvidia,30,low,comment,0.8832
nvidia,30,low,comment,0.6908
nvidia,30,low,post,-0.1037
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.34
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.9074
nvidia,30,low,comment,0.296
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.7506
nvidia,30,low,comment,0.4678
nvidia,30,low,post,0.9793
nvidia,30,low,comment,0.6486
nvidia,30,low,comment,0.4329
nvidia,30,low,comment,0.3612
nvidia,30,low,comment,0.068
nvidia,30,low,comment,0.796
nvidia,30,low,comment,0.9371
nvidia,30,low,comment,0.4404
nvidia,30,low,comment,0.6705
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.8172
nvidia,30,low,comment,0.3818
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.8862
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.8972
nvidia,30,low,post,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.4215
nvidia,30,low,comment,0.3336
nvidia,30,low,comment,0.3662
nvidia,30,low,comment,-0.3802
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.5267
nvidia,30,low,comment,0.2944
nvidia,30,low,comment,-0.6541
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.4023
nvidia,30,low,comment,-0.6369
nvidia,30,low,comment,0.2716
nvidia,30,low,comment,0.5423
nvidia,30,low,comment,-0.8442
nvidia,30,low,comment,-0.6815
nvidia,30,low,comment,-0.8176
nvidia,30,low,comment,-0.6124
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.2732
nvidia,30,low,post,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.3818
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.128
nvidia,30,low,comment,0.296
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.296
nvidia,30,low,comment,0.5859
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.2867
nvidia,30,low,comment,-0.8041
nvidia,30,low,comment,0.7029
nvidia,30,low,comment,-0.144
nvidia,30,low,comment,0.296
nvidia,30,low,comment,-0.4767
nvidia,30,low,comment,0.5719
nvidia,30,low,post,0.6841
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.4215
nvidia,30,low,comment,0.8531
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.0191
nvidia,30,low,comment,-0.2613
nvidia,30,low,comment,0.3182
nvidia,30,low,comment,0.8588
nvidia,30,low,comment,0.7717
nvidia,30,low,comment,0.5859
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.5147
nvidia,30,low,comment,0.7579
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.4019
nvidia,30,low,comment,-0.4215
nvidia,30,low,comment,-0.2732
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.8548
nvidia,30,low,post,-0.4944
nvidia,30,low,comment,0.0258
nvidia,30,low,comment,0.3818
nvidia,30,low,comment,0.1918
nvidia,30,low,comment,0.438
nvidia,30,low,comment,-0.1655
nvidia,30,low,comment,0.6369
nvidia,30,low,comment,0.0
nvidia,30,low,comment,-0.5122
nvidia,30,low,comment,0.6486
nvidia,30,low,comment,0.2732
nvidia,30,low,comment,0.3182
nvidia,30,low,comment,-0.0396
nvidia,30,low,comment,-0.3818
nvidia,30,low,comment,0.2495
nvidia,30,low,comment,0.5255
nvidia,30,low,comment,-0.1082
nvidia,30,low,comment,0.5106
nvidia,30,low,comment,0.4471
nvidia,30,low,comment,0.0
nvidia,30,low,comment,0.9049
nvidia,30,low,post,0.0
nvidia,30,low,comment,0.0
